Subset,Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std
FD002,Ensemble(avg),14.23,1.43,18.86,1.84
FD002,GRU+Attention,14.71,2.13,19.95,2.7
FD002,BiLSTM,14.72,1.51,20.32,2.28
FD002,XGBoost,15.58,0.88,20.44,0.99
FD003,GRU+Attention,8.89,1.01,13.36,1.34
FD003,BiLSTM,8.54,0.63,13.42,0.93
FD003,Ensemble(avg),9.1,1.02,13.44,1.44
FD003,XGBoost,12.32,1.55,17.73,2.11
FD004,XGBoost,12.94,0.63,18.38,1.33
FD004,Ensemble(avg),13.01,1.05,18.71,1.93
FD004,BiLSTM,13.81,0.91,20.43,1.73
FD004,GRU+Attention,14.53,1.75,21.51,3.16
