Subset,Split,Model,MAE,RMSE
FD001,Validation,Ensemble(avg),8.768586158752441,12.1543726709532
FD001,Validation,GRU+Attention,8.274430274963379,12.393591276798189
FD001,Validation,BiLSTM,8.535199165344238,12.424754604318712
FD001,Validation,XGBoost (native),12.819385528564451,17.388679662927885
FD001,Test,Ensemble(avg),10.174991607666016,14.234832186847
FD002,Validation,GRU+Attention,12.73963737487793,17.657008764116693
FD002,Validation,Ensemble(avg),13.198577880859377,18.05904368558564
FD002,Validation,XGBoost,15.291874885559082,20.25701707366256
FD002,Validation,BiLSTM,14.383773803710938,20.927433155934192
FD002,Test,Ensemble(avg),14.217077255249023,18.675337185554124
FD002,Test,GRU+Attention,14.065828323364258,19.07331036325081
FD002,Test,XGBoost,15.825103759765623,20.12678093464068
FD002,Test,BiLSTM,15.028141021728516,21.45169247083505
FD003,Validation,BiLSTM,7.810450553894043,11.86690590720879
FD003,Validation,GRU+Attention,7.754881381988525,11.997040701594004
FD003,Validation,Ensemble(avg),7.939067840576172,12.016292320342814
FD003,Validation,XGBoost,11.392370223999023,16.529355840207067
FD003,Test,Ensemble(avg),7.400067806243896,11.986828887260424
FD003,Test,GRU+Attention,7.333345890045166,11.991973735879814
FD003,Test,BiLSTM,7.047582149505615,12.128212414735865
FD003,Test,XGBoost,10.532081604003906,15.641752737814825
FD004,Validation,XGBoost,14.929862022399902,20.67366196570568
FD004,Validation,Ensemble(avg),14.682551383972168,20.807749346369206
FD004,Validation,GRU+Attention,15.281383514404297,22.36703673434169
FD004,Validation,BiLSTM,16.022611618041992,23.234004599434908
FD004,Test,Ensemble(avg),11.278011322021484,17.124260433961997
FD004,Test,XGBoost,11.898042678833008,17.54250905724257
FD004,Test,GRU+Attention,11.075139999389648,18.05225332465884
FD004,Test,BiLSTM,12.161276817321776,19.02497587465619
