Subset,Model,Fold,MAE,RMSE
FD001,BiLSTM,1,9.959816932678223,14.452406548866211
FD001,GRU+Attention,1,10.302140235900879,14.296516922599157
FD001,XGBoost,1,14.806689262390137,20.212759931847508
FD001,Ensemble(avg),1,11.138975143432617,14.755630711538986
FD001,BiLSTM,2,9.989482879638672,13.850657511503798
FD001,GRU+Attention,2,9.465832710266113,13.396170999988673
FD001,XGBoost,2,14.912595748901367,19.40367239574525
FD001,Ensemble(avg),2,10.814419746398926,14.052833048863093
FD001,BiLSTM,3,8.745427131652832,12.482881344471567
FD001,GRU+Attention,3,8.823295593261719,12.611691551649418
FD001,XGBoost,3,14.261266708374023,19.865032263652065
FD001,Ensemble(avg),3,9.642616271972656,12.998774544103668
FD001,BiLSTM,4,10.080026626586914,15.02674262022259
FD001,GRU+Attention,4,10.368467330932617,15.030752066694124
FD001,XGBoost,4,13.862886428833008,18.336179662599857
FD001,Ensemble(avg),4,10.53717041015625,14.434511874554007
FD001,BiLSTM,5,8.704967498779297,12.522663171047435
FD001,GRU+Attention,5,8.801173210144043,12.602542051590598
FD001,XGBoost,5,14.475435256958008,19.49709748405476
FD001,Ensemble(avg),5,9.786474227905273,13.102349200255262
