Subset,Model,Fold,MAE,RMSE
FD002,BiLSTM,1,17.003999710083008,23.90142542207538
FD002,GRU+Attention,1,18.461166381835938,24.714506342034607
FD002,XGBoost,1,16.892108917236328,21.95535325657717
FD002,Ensemble(avg),1,16.6533145904541,21.97863911602759
FD002,BiLSTM,2,15.25693130493164,20.62770904320433
FD002,GRU+Attention,2,13.61740493774414,18.468071681441444
FD002,XGBoost,2,15.055008888244629,19.753362828075076
FD002,Ensemble(avg),2,14.075735092163086,18.565765607372366
FD002,BiLSTM,3,14.563342094421387,20.416278612250736
FD002,GRU+Attention,3,13.809187889099121,19.220135398491035
FD002,XGBoost,3,15.187387466430664,20.01269357314838
FD002,Ensemble(avg),3,13.79849624633789,18.693298052773986
FD002,BiLSTM,4,13.15915298461914,18.234905532663344
FD002,GRU+Attention,4,13.352843284606934,18.189601501495385
FD002,XGBoost,4,14.724913597106934,19.551000950938388
FD002,Ensemble(avg),4,12.867082595825195,17.186111449592445
FD002,BiLSTM,5,13.636430740356445,18.42146333164922
FD002,GRU+Attention,5,14.306893348693848,19.168812949491112
FD002,XGBoost,5,16.017934799194336,20.9035916541385
FD002,Ensemble(avg),5,13.738245964050293,17.891156344456803
FD003,BiLSTM,1,8.08835220336914,13.65410452254193
FD003,GRU+Attention,1,9.205740928649902,14.36688799647039
FD003,XGBoost,1,11.930468559265137,17.836041871683232
FD003,Ensemble(avg),1,9.186659812927246,14.165836683905336
FD003,BiLSTM,2,9.150246620178223,14.248437093054331
FD003,GRU+Attention,2,9.470841407775879,13.849356383645087
FD003,XGBoost,2,14.516135215759277,20.585647679411483
FD003,Ensemble(avg),2,10.212809562683105,14.987502423080235
FD003,BiLSTM,3,8.884774208068848,13.844075700704469
FD003,GRU+Attention,3,9.156816482543945,13.429245511560417
FD003,XGBoost,3,12.59399700164795,18.014130026599517
FD003,Ensemble(avg),3,9.217301368713379,13.494245644990452
FD003,BiLSTM,4,7.67114782333374,11.822837222108268
FD003,GRU+Attention,4,7.1098833084106445,11.042768046792158
FD003,XGBoost,4,10.17825698852539,14.643868037296361
FD003,Ensemble(avg),4,7.441185474395752,11.123121810272165
FD003,BiLSTM,5,8.916804313659668,13.544219323209267
FD003,GRU+Attention,5,9.519484519958496,14.125171221480214
FD003,XGBoost,5,12.36626148223877,17.56969676416658
FD003,Ensemble(avg),5,9.446711540222168,13.44649215390829
FD004,BiLSTM,1,15.316695213317871,23.43516264386768
FD004,GRU+Attention,1,17.54007911682129,26.912307181511423
FD004,XGBoost,1,13.91459846496582,20.524949684964213
FD004,Ensemble(avg),1,14.83027172088623,22.07297688563439
FD004,BiLSTM,2,13.785979270935059,19.72285469485726
FD004,GRU+Attention,2,13.261246681213379,20.265052004958484
FD004,XGBoost,2,12.485273361206055,17.278902911928284
FD004,Ensemble(avg),2,12.51312255859375,17.833144047288133
FD004,BiLSTM,3,12.944031715393066,19.176689556940772
FD004,GRU+Attention,3,13.319774627685547,18.74722798519574
FD004,XGBoost,3,12.298827171325684,17.263256342047697
FD004,Ensemble(avg),3,12.186606407165527,17.200242080759175
FD004,BiLSTM,4,13.687336921691895,20.282984866573663
FD004,GRU+Attention,4,14.340574264526367,21.391805545171305
FD004,XGBoost,4,13.05385971069336,18.432352466021275
FD004,Ensemble(avg),4,12.867823600769043,18.40677309183489
FD004,BiLSTM,5,13.292786598205566,19.541978303529685
FD004,GRU+Attention,5,14.198410034179688,20.24629610826424
FD004,XGBoost,5,12.938565254211426,18.40574098670117
FD004,Ensemble(avg),5,12.664163589477539,18.018377459403254
